nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link
Pondok Indah Dekat Bukit Golf Rumah Mewah,6,8,502,40000000000,52424640,"Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pondok-indah-dekat-bukit-golf-rumah-mewah-oleh-nizar-luthfi-17958573
2 Rumah Lama Dalam Satu Area Di Cipete,7,9,1300,40000000000,23529412,"Cipete, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-2-rumah-lama-dalam-satu-area-di-cipete-oleh-dasep-18513756
Dijual rumah mewah Simprug Garden belakang BINUS  Simprug Garden,10,10,1200,40000000000,58139535,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-simprug-garden-belakang-binus-simprug-garden-oleh-dewi-sabina-18934219
kebayoran baru,3,4,600,39000000000,53206003,"wijaya, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-oleh-yudhistira-arimbawa-18795951
Rumah di Pakubuwono VI No. 12,3,4,450,39000000000,72761194,"Jl. Pakubuwono VI No. 12, Jakarta Selatan, Pakubuwono, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-di-pakubuwono-vi-no-12-oleh-aldila-a-wibowo-16150975
"Pejaten Barat, Kemang Timur, Rumah BIsa Untuk Kantor dan Bisnis",4,5,960,39000000000,18509729,"Kemang, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-pejaten-barat-kemang-timur-rumah-bisa-untuk-kantor-dan-bisnis-oleh-nina-ika-dewandari-18370055
Rumah Mewah Siap Huni Kebayoran Baru,4,4,479,39000000000,78000000,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-mewah-siap-huni-kebayoran-baru-oleh-donny-18854239
Rumah Bagus Dijual di Kebayoran Baru Dekat Senopati,4,4,550,39000000000,81419624,"Kebayoran Baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-bagus-dijual-di-kebayoran-baru-dekat-senopati-oleh-vincent-brata-17543364
Kebayoran baru,4,4,500,39000000000,97500000,"Kebayoran baru, Kebayoran Baru, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-kebayoran-baru-oleh-remmi-michael-18858002
Rumah Besar dan Luas Harga Bersaing di Pondok Indah,5,6,825,39000000000,50781250,"Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-besar-dan-luas-harga-bersaing-di-pondok-indah-oleh-gerry-18900052
